FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
379	47759	69209	19	 	 	 	 	1st	Street	South	 	 	B1707	19 1st Street South B1707	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320445	{E8407A19-64CB-4507-8172-6D2624355355}
2852	349639	42530	19	 	 	 	 	1st	Street	South	 	 	B1708	19 1st Street South B1708	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320446	{FEFC5852-697B-4672-BFF8-FE0B2370BC75}
774	100122	61202	19	 	 	 	 	1st	Street	South	 	 	B1801	19 1st Street South B1801	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320447	{67200F65-C303-4242-B396-40C4AE4EA965}
2770	340808	61979	19	 	 	 	 	1st	Street	South	 	 	B1802	19 1st Street South B1802	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320448	{FE8D8996-2350-4F21-B783-39E8B17937E6}
1120	145212	62013	19	 	 	 	 	1st	Street	South	 	 	B1803	19 1st Street South B1803	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320449	{13C8E7CB-95D4-479B-AF6F-AB069962E03C}
1402	178003	61404	19	 	 	 	 	1st	Street	South	 	 	B1805	19 1st Street South B1805	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320451	{2234AA76-485F-4037-97E4-BD8D9EDBB34C}
560	72497	60565	19	 	 	 	 	1st	Street	South	 	 	B1807	19 1st Street South B1807	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320453	{BE4C84A3-0E5E-4172-868D-B1204F533287}
3137	384359	61369	19	 	 	 	 	1st	Street	South	 	 	B1808	19 1st Street South B1808	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320454	{47B2511C-8C4B-4900-AB5A-5C6BBC413EF2}
842	110850	61143	19	 	 	 	 	1st	Street	South	 	 	B1903	19 1st Street South B1903	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320457	{6F0C1174-AA0E-49EB-9C63-87F332A99419}
3811	466436	60226	19	 	 	 	 	1st	Street	South	 	 	B1904	19 1st Street South B1904	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320458	{6EA66A78-5FB4-46D4-A8B6-7BFDCE648CDD}
212	28145	77873	19	 	 	 	 	1st	Street	South	 	 	B1905	19 1st Street South B1905	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320459	{5BF6E2EE-719C-4B4A-A690-A3376C62D849}
2366	293846	66064	19	 	 	 	 	1st	Street	South	 	 	B1906	19 1st Street South B1906	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320460	{E2D7656B-744A-48E9-94E8-5047178895A7}
1717	217898	78085	19	 	 	 	 	1st	Street	South	 	 	B1907	19 1st Street South B1907	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320461	{B58C236D-64C1-4078-821B-0453C8FC3127}
1920	240649	60607	19	 	 	 	 	1st	Street	South	 	 	B1908	19 1st Street South B1908	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320462	{56552F63-6E5C-4476-8804-59380F122473}
2125	262721	65976	19	 	 	 	 	1st	Street	South	 	 	B2001	19 1st Street South B2001	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320463	{371FFD84-5A31-4110-9A70-5574E0D83E89}
3036	371345	66086	19	 	 	 	 	1st	Street	South	 	 	B2002	19 1st Street South B2002	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320464	{01903744-E926-4413-8AE7-FFE418837654}
1581	200182	60264	19	 	 	 	 	1st	Street	South	 	 	B2003	19 1st Street South B2003	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320465	{687E517E-8DA3-47E0-81BD-2CA0A7807C32}
1517	192885	86031	19	 	 	 	 	1st	Street	South	 	 	B2004	19 1st Street South B2004	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320466	{49926666-A23E-4DEF-8B2C-004D9170EB83}
2325	289067	77911	19	 	 	 	 	1st	Street	South	 	 	B2005	19 1st Street South B2005	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320467	{3A032833-4DE9-4DE5-A119-EAEE7F2F05EF}
1838	231706	60337	19	 	 	 	 	1st	Street	South	 	 	B2006	19 1st Street South B2006	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320468	{E7AD0DD5-226D-429C-8DAA-20E43DD928DB}
849	111345	65847	19	 	 	 	 	1st	Street	South	 	 	B2007	19 1st Street South B2007	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320469	{1CDD804C-5C05-49D2-B38D-C807EC1D7F70}
1854	232640	61661	19	 	 	 	 	1st	Street	South	 	 	B2008	19 1st Street South B2008	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320470	{6AF20FDD-05B6-4449-80CE-DDAA934A6D7B}
2003	249887	60726	19	 	 	 	 	1st	Street	South	 	 	B2101	19 1st Street South B2101	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320471	{D7AE719E-E770-4C62-9974-4300EE630BF9}
1908	239256	60343	19	 	 	 	 	1st	Street	South	 	 	B2102	19 1st Street South B2102	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320472	{CAEBBE06-D8BE-432B-B4FD-BFEBBB987401}
1202	155394	61932	19	 	 	 	 	1st	Street	South	 	 	B2104	19 1st Street South B2104	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320474	{6C50160C-2D71-44B1-A6C1-F3E98D90AA28}
2167	268570	42042	19	 	 	 	 	1st	Street	South	 	 	B2106	19 1st Street South B2106	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320476	{AE135F1B-A6D4-44E3-91F9-79E19ACED540}
2213	274470	61361	19	 	 	 	 	1st	Street	South	 	 	B2107	19 1st Street South B2107	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320477	{DADBFA37-1BF4-498A-A073-8F1048DF447C}
896	118771	61078	19	 	 	 	 	1st	Street	South	 	 	B2108	19 1st Street South B2108	Minneapolis	55401	 	 	 	0	Structure	-93.26569113	44.98311382	2302924320478	{0953FAF9-C47E-45D8-AF63-1E2C6ADE7383}
