FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
244	32088	0	510	 	 	 	 	1st	Avenue	North	 	 	 	510 1st Avenue North	Minneapolis	55403	 	 	 	0	 	-93.2739	44.9804	 	{8C05F2B4-42E4-42C2-8233-E378B80B6E29}
793	103630	0	510	 	 	 	 	Marquette	Avenue	 	 	 	 	510 Marquette Avenue	Minneapolis	55402	 	 	 	0	 	-93.2697	44.9781	 	{9AC3C791-397C-4E46-8A68-5590A2681356}
1099	143194	0	920	 	 	 	 	2nd	Avenue	South	 	 	 	920 2nd Avenue South	Minneapolis	55402	 	 	 	0	 	-93.2721	44.9731	 	{DBE891B9-0082-446C-93F7-127935797A6D}
1180	153541	0	80	 	 	 	 	8th	Street	South	 	 	 	80 8th Street South	Minneapolis	55402	 	 	 	0	 	-93.2721	44.9759	 	{B1FBD314-A9F3-46F0-875A-CA9894E92DBA}
2691	332470	0	225	 	 	 	 	6th	Street	South	 	 	 	225 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2686	44.9765	 	{3A37757A-6B4E-4323-86E0-25C21B4B888B}
3385	414713	0	60	 	 	 	 	6th	Street	South	 	 	 	60 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2708	44.9778	 	{B22B51D3-4168-44D9-BAD1-A1889617CBD9}
62	7575	0	19	 	 	 	 	1st	Street	South	 	 	 	19 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2658	44.9832	 	{D8CC4C77-B4F1-4A77-86F5-E17214F7E8C8}
66	8178	0	700	 	 	 	 	1st	Avenue	North	 	 	 	700 1st Avenue North	Minneapolis	55403	 	 	 	0	 	-93.2764	44.9787	 	{9D806CC5-8540-4136-8067-D67DCCFD67CA}
118	15044	0	50	 	 	 	 	10th	Street	South	 	 	 	50 10th Street South	Minneapolis	55403	 	 	 	0	 	-93.2753	44.9744	 	{B1B02432-7DB6-4199-83DB-ADACDC48307A}
288	37259	0	77	 	 	 	 	7th	Street	South	 	 	 	77 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2715	44.9764	 	{6F0C85EF-5587-42D7-9A39-C95250CF16E0}
289	37303	0	431	 	 	 	 	7th	Street	South	 	 	 	431 7th Street South	Minneapolis	55415	 	 	 	0	 	-93.2662	44.9738	 	{4A322525-19ED-4245-BF18-E9E4FAC9E93E}
314	40576	0	1030	 	 	 	 	3rd	Avenue	South	 	 	 	1030 3rd Avenue South	Minneapolis	55403	 	 	 	0	 	-93.2713	44.9717	 	{CF313055-D9C9-4C78-B517-05929298BF34}
419	52879	0	990	 	 	 	 	Nicollet	Mall	 	 	 	 	990 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2748	44.9742	 	{FCC276AE-B905-4EBF-AF23-3F6A3DE4ECA9}
466	59389	0	88	 	 	 	 	9th	Street	South	 	 	 	88 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.2728	44.9747	 	{8F7E0071-97B7-4F95-81EC-379E206C697B}
490	61930	0	109	 	 	 	 	7th	Street	South	 	 	 	109 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2706	44.976	 	{7810DE54-6EC4-4EAC-865A-2C8061878A59}
491	62078	0	120	 	 	 	 	7th	Street	South	 	 	 	120 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.27	44.9762	 	{9B231F0C-4ED6-4645-9127-6CD64B1B72AB}
614	78019	0	550	 	 	 	 	4th	Street	South	 	 	 	550 4th Street South	Minneapolis	55415	 	 	 	0	 	-93.2617	44.9766	 	{7890B062-4881-45C5-BE85-A0DC34C28AAE}
621	78662	0	401	 	 	 	 	1st	Street	South	 	 	 	401 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2607	44.981	 	{BDDB87B0-06E5-4912-8993-607CB026E9D8}
748	96924	0	56	 	 	 	 	9th	Street	South	 	 	 	56 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.2743	44.9752	 	{14BAEC00-DCDF-4121-A65B-B394AA8AAEE9}
753	97540	0	425	 	 	 	 	7th	Street	South	 	 	 	425 7th Street South	Minneapolis	55415	 	 	 	0	 	-93.2656	44.9739	 	{C91ACC84-A76B-4540-94C3-97088BDEAA07}
812	106044	0	530	 	 	 	 	4th	Street	South	 	 	 	530 4th Street South	Minneapolis	55415	 	 	 	0	 	-93.2621	44.9768	 	{18C2A585-91F6-425B-B30D-2E16C6F146D0}
899	119317	0	931	 	 	 	 	Nicollet	Mall	 	 	 	 	931 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2744	44.9741	 	{7E422184-6903-4388-B6AF-5B8F0DC0B8C3}
905	119915	0	801	 	 	 	 	Hennepin	Avenue	 	 	 	 	801 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.2759	44.977	 	{5DEE1381-66C1-49CA-A761-52C02449032D}
908	120396	0	1225	 	 	 	 	Lasalle	Avenue	 	 	 	 	1225 Lasalle Avenue	Minneapolis	55403	 	 	 	0	 	-93.278	44.9717	 	{69A66A76-93E4-4F58-8B37-10C4FA26AB8A}
939	124163	0	1200	 	 	 	 	Nicollet	Mall	 	 	 	 	1200 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2777	44.9722	 	{8E525340-D342-49E2-8221-646C9B8F4C25}
955	125625	0	1005	 	 	 	 	4th	Street	South	 	 	 	1005 4th Street South	Minneapolis	55415	 	 	 	0	 	-93.2555	44.9734	 	{EF7C9736-1D28-4226-A801-E5BB588FE70B}
1075	139317	0	10	 	 	 	 	5th	Street	South	 	 	 	10 5th Street South	Minneapolis	55401	 	 	 	0	 	-93.2719	44.9796	 	{415B8B4B-6DFB-4A7E-B482-DECF75C1611B}
1105	143672	0	800	 	 	 	 	Marquette	Avenue	 	 	 	 	800 Marquette Avenue	Minneapolis	55402	 	 	 	0	 	-93.2721	44.9751	 	{19187921-0159-4D40-B2AE-6493145601F5}
1291	165287	0	717	 	 	 	 	Nicollet	Mall	 	 	 	 	717 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2724	44.9763	 	{8687EB4F-FC76-429C-B637-9E067D513A54}
1318	168061	0	501	 	 	 	 	Nicollet	Mall	 	 	 	 	501 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2706	44.9782	 	{C92DEBD9-B06E-4DE2-A999-0C74B5A5CDFC}
1489	189201	0	1000	 	 	 	 	Lasalle	Avenue	 	 	 	 	1000 Lasalle Avenue	Minneapolis	55403	 	 	 	0	 	-93.2765	44.9745	 	{A18C03B8-6FB7-4B71-8C9A-4A110E67DF19}
1631	206457	0	533	 	 	 	 	3rd	Street	South	 	 	 	533 3rd Street South	Minneapolis	55415	 	 	 	0	 	-93.2613	44.9773	 	{E566C3A7-9138-481B-BB8C-A26FB106146A}
1638	207705	0	651	 	 	 	 	Nicollet	Mall	 	 	 	 	651 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2716	44.9773	 	{F3FBC9C3-7219-4197-87CA-CF84BD3D435F}
1668	211636	0	1011	 	 	 	 	Nicollet	Mall	 	 	 	 	1011 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2748	44.9735	 	{BD2C225B-4218-400D-A65C-C623ED76DBC6}
1672	212352	0	1021	 	 	 	 	Hennepin	Avenue	 	 	 	 	1021 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.2781	44.975	 	{EF255DEC-0E37-443A-A55D-707F8E218A77}
1712	217259	0	220	 	 	 	 	6th	Street	South	 	 	 	220 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2679	44.9769	 	{FC8BAD6B-8B44-4070-BAD5-04865B0C2E42}
1716	217881	0	505	 	 	 	 	Nicollet	Mall	 	 	 	 	505 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2706	44.9785	 	{FBDB0E8C-1A2E-408C-A76A-B5EC0B074C1B}
1773	224849	0	1040	 	 	 	 	Nicollet	Mall	 	 	 	 	1040 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2753	44.9736	 	{DD15DD05-8308-4D64-8F5E-A0E823F92E43}
1830	230906	0	333	 	 	 	 	3rd	Avenue	South	 	 	 	333 3rd Avenue South	Minneapolis	55415	 	 	 	0	 	-93.2651	44.9786	 	{6A3B5A48-D601-4B77-8AB0-29CF1F390C8B}
1947	242745	0	915	 	 	 	 	Nicollet	Mall	 	 	 	 	915 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.274	44.9746	 	{2EA70383-F44D-462F-96BA-B128B3D3B308}
2007	250420	0	16	 	 	 	 	9th	Street	South	 	 	 	16 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.2761	44.9762	 	{E775F86E-1D10-421F-B5EE-6CE084EF74E2}
2039	253748	0	915	 	 	 	 	Lasalle	Avenue	 	 	 	 	915 Lasalle Avenue	Minneapolis	55402	 	 	 	0	 	-93.2755	44.975	 	{1FBC8FC3-1593-4DDB-B19E-35E2EAA6BD56}
2040	253855	0	35	 	 	 	 	7th	Street	South	 	 	 	35 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2734	44.9772	 	{BF053199-E107-415A-BC35-C869A6B29B22}
2086	258705	0	1111	 	 	 	 	Nicollet	Mall	 	 	 	 	1111 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2749	44.9722	 	{4DAEC69D-8A2F-451B-A961-7DA529D7C5A7}
2101	260243	0	324	 	 	 	 	9th	Street	South	 	 	 	324 9th Street South	Minneapolis	55404	 	 	 	0	 	-93.2688	44.973	 	{166C62BC-1C1F-42D8-B77B-9BA6B50E2F77}
2143	265255	0	16	 	 	 	 	6th	Street	South	 	 	 	16 6th Street South	Minneapolis	55402	 	 	 	0	 	-93.2729	44.9787	 	{1477C952-21FD-4A3E-A858-F10E5C5B69D3}
2204	273481	0	950	 	 	 	 	Nicollet	Mall	 	 	 	 	950 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2745	44.9746	 	{EC0D5BF2-F5EE-48B9-B2CA-81479D71753F}
2208	274093	0	714	 	 	 	 	Hennepin	Avenue	 	 	 	 	714 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.2757	44.9777	 	{865C9478-4AE1-45F7-8D89-7C5867E2340E}
2224	275504	0	333	 	 	 	 	1st	Street	South	 	 	 	333 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2617	44.9815	 	{7D58B89B-FF11-4032-BC8A-3F9C3E2A4F0A}
2229	276265	0	1010	 	 	 	 	Nicollet	Mall	 	 	 	 	1010 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2751	44.9738	 	{CB4F7FF7-5FAC-4998-8059-86D03D9D8641}
2236	277249	0	15	 	 	 	 	1st	Street	South	 	 	 	15 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2666	44.9832	 	{39861194-41A3-4E6A-8726-648885C6BF28}
2266	280792	0	25	 	 	 	 	11th	Street	South	 	 	 	25 11th Street South	Minneapolis	55403	 	 	 	0	 	-93.2786	44.9745	 	{E16C0AA1-EF64-4FB8-9D84-087F3278741F}
2313	287270	0	420	 	 	 	 	Hennepin	Avenue	 	 	 	 	420 Hennepin Avenue	Minneapolis	55401	 	 	 	0	 	-93.2723	44.98	 	{430503BE-FCDC-4DF8-B5BF-A799ACB9676B}
2321	288917	0	31	 	 	 	 	9th	Street	North	 	 	 	31 9th Street North	Minneapolis	55403	 	 	 	0	 	-93.278	44.9772	 	{1172C51E-A5D1-47B7-BAE6-00507E1EF15A}
2340	291152	0	1012	 	 	 	 	Lasalle	Avenue	 	 	 	 	1012 Lasalle Avenue	Minneapolis	55403	 	 	 	0	 	-93.2772	44.9741	 	{EA3E3260-8F38-45A1-AF51-13178F77C7D1}
2342	291392	0	805	 	 	 	 	Hennepin	Avenue	 	 	 	 	805 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.276	44.9769	 	{37802E5D-1371-4068-B844-9780C44088E6}
2350	292512	0	34	 	 	 	 	10th	Street	South	 	 	 	34 10th Street South	Minneapolis	55403	 	 	 	0	 	-93.2756	44.9746	 	{8069D72A-5EA3-4109-80A4-12B2BC413451}
2432	301465	0	33	 	 	 	 	9th	Street	North	 	 	 	33 9th Street North	Minneapolis	55403	 	 	 	0	 	-93.2775	44.9778	 	{25A1D3CE-20A7-4C7E-BD2E-4EF84E988BA7}
2500	309814	0	251	 	 	 	 	1st	Avenue	North	 	 	 	251 1st Avenue North	Minneapolis	55401	 	 	 	0	 	-93.2709	44.9823	 	{0424193E-F19B-4855-AAFF-786B1B116BD7}
2593	319675	0	520	 	 	 	 	Nicollet	Mall	 	 	 	 	520 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2711	44.9786	 	{DE0BCF1F-725D-497C-A933-550A7734A6C3}
2697	333496	0	11	 	 	 	 	7th	Street	South	 	 	 	11 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2745	44.9777	 	{7EC7025C-879D-4970-923B-D1B1085A44A4}
2733	337416	0	212	 	 	 	 	7th	Street	South	 	 	 	212 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2689	44.9756	 	{1E03BD22-FB95-4CD6-85EF-9A9562C1052E}
2763	340353	0	424	 	 	 	 	3rd	Avenue	North	 	 	 	424 3rd Avenue North	Minneapolis	55403	 	 	 	0	 	-93.276	44.9823	 	{BF4AF87D-94A3-4C8A-A98C-355E38ECA56A}
2826	346763	0	100	 	 	 	 	6th	Street	North	 	 	 	100 6th Street North	Minneapolis	55403	 	 	 	0	 	-93.275	44.9799	 	{2B2E7627-EF3C-4C65-801D-2A64B410BB0F}
2909	357357	0	250	 	 	 	 	2nd	Avenue	South	 	 	 	250 2nd Avenue South	Minneapolis	55401	 	 	 	0	 	-93.266	44.9802	 	{31A90540-7BAA-4309-9F81-20C61DB8FE58}
2919	358313	0	1330	 	 	 	 	Nicollet	Mall	 	 	 	 	1330 Nicollet Mall	Minneapolis	55403	 	 	 	0	 	-93.2784	44.97	 	{B643207C-2B15-47AB-89B2-BCA7C72DBB80}
2929	359247	0	110	 	 	 	 	7th	Street	South	 	 	 	110 7th Street South	Minneapolis	55402	 	 	 	0	 	-93.2701	44.9763	 	{A9CB98CA-2061-48EA-AC29-63F8090B5B8C}
2944	360957	0	609	 	 	 	 	3rd	Street	South	 	 	 	609 3rd Street South	Minneapolis	55415	 	 	 	0	 	-93.2602	44.9769	 	{D107F9CD-A4E5-40C0-865B-23DD1F9DF6B6}
3015	369358	0	229	 	 	 	 	10th	Street	South	 	 	 	229 10th Street South	Minneapolis	55403	 	 	 	0	 	-93.2711	44.9723	 	{586A9989-DEC1-4137-B1EE-ACD9516D16D4}
3069	377587	0	433	 	 	 	 	7th	Street	South	 	 	 	433 7th Street South	Minneapolis	55415	 	 	 	0	 	-93.2662	44.9737	 	{974BA6A4-E7DF-4387-A18B-B18C9AB48D75}
3104	380726	0	555	 	 	 	 	Nicollet	Mall	 	 	 	 	555 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2705	44.9784	 	{3BEEC58A-ED53-4566-A62E-EC725F63AAEB}
3123	382634	0	444	 	 	 	 	4th	Street	South	 	 	 	444 4th Street South	Minneapolis	55415	 	 	 	0	 	-93.2632	44.9772	 	{569C91F9-6681-4A04-9E9B-EBF29A084789}
3149	385817	0	100	 	 	 	 	3rd	Avenue	South	 	 	 	100 3rd Avenue South	Minneapolis	55401	 	 	 	0	 	-93.2628	44.9817	 	{3D167849-048E-4BA3-9BA6-3350A8D73763}
3157	386468	0	52	 	 	 	 	9th	Street	South	 	 	 	52 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.2743	44.9753	 	{5658E88F-0C7E-4506-B7B3-431D58451248}
3182	389219	0	80	 	 	 	 	9th	Street	South	 	 	 	80 9th Street South	Minneapolis	55402	 	 	 	0	 	-93.273	44.9748	 	{40BF0811-61BB-4E77-9083-EC0E9CCA20CD}
3222	393853	0	655	 	 	 	 	Nicollet	Mall	 	 	 	 	655 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2717	44.9771	 	{41C8B32A-72E7-4818-8607-1BB0367F1BEA}
3341	408114	0	950	 	 	 	 	Hawthorne	Avenue	 	 	 	 	950 Hawthorne Avenue	Minneapolis	55403	 	 	 	0	 	-93.2783	44.9771	 	{81D81E7E-2C1E-49DB-B3FC-4B9CB5A92CFF}
3506	429543	0	10	 	 	 	 	4th	Street	South	 	 	 	10 4th Street South	Minneapolis	55402	 	 	 	0	 	-93.2709	44.9799	 	{6F9C7804-9548-41BC-9401-B3BCE41BCA02}
3519	431144	0	17	 	 	 	 	1st	Street	South	 	 	 	17 1st Street South	Minneapolis	55401	 	 	 	0	 	-93.2665	44.9832	 	{8325FFD5-BFF9-4C2A-B768-00B846A60C61}
3577	438212	0	311	 	 	 	 	1st	Avenue	North	 	 	 	311 1st Avenue North	Minneapolis	55401	 	 	 	0	 	-93.2716	44.9816	 	{3EDF5545-C40E-4800-ABD8-860594A13969}
3658	448318	0	600	 	 	 	 	4th	Street	South	 	 	 	600 4th Street South	Minneapolis	55415	 	 	 	0	 	-93.2608	44.9762	 	{0036624D-C43C-42BF-BFAF-177F1B43A226}
3661	448470	0	465	 	 	 	 	Nicollet	Mall	 	 	 	 	465 Nicollet Mall	Minneapolis	55401	 	 	 	0	 	-93.2702	44.9788	 	{CE2F12BA-95B4-4377-9C0F-C0C941A72D00}
3732	457435	0	927	 	 	 	 	Nicollet	Mall	 	 	 	 	927 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2742	44.9741	 	{6C78D239-3B3D-4D13-905D-B1C18343BE8B}
3745	458814	0	420	 	 	 	 	3rd	Avenue	South	 	 	 	420 3rd Avenue South	Minneapolis	55415	 	 	 	0	 	-93.2664	44.9775	 	{921839B0-92AD-4B43-B9C1-4F306F7C96D5}
3776	461982	0	935	 	 	 	 	Hennepin	Avenue	 	 	 	 	935 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.2775	44.9758	 	{DED3FEEF-A3C9-46E3-863C-E1FA7B392D43}
3798	464911	0	650	 	 	 	 	3rd	Avenue	South	 	 	 	650 3rd Avenue South	Minneapolis	55402	 	 	 	0	 	-93.268	44.9757	 	{5F519068-D27C-4162-AF62-050317A23E6E}
3804	465791	0	725	 	 	 	 	Hennepin	Avenue	 	 	 	 	725 Hennepin Avenue	Minneapolis	55403	 	 	 	0	 	-93.2753	44.9775	 	{25C2A9B5-0912-46D3-9D53-3A4520C9C1AD}
3816	466864	0	900	 	 	 	 	Nicollet	Mall	 	 	 	 	900 Nicollet Mall	Minneapolis	55402	 	 	 	0	 	-93.2747	44.9746	 	{79255850-509D-474D-8CA8-D7B4410FE7DC}
258	34049	75319	401	 	 	 	 	4th	Street	North	 	 	 	401 4th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27601032	44.98288152	2202924310066	{F85200FB-5C42-4F3E-B057-6FF3D8C6F197}
881	116495	448805	401	 	 	 	 	5th	Street	North	 	 	 	401 5th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27747514	44.98276002	2202924310066	{19E685D6-0178-4C64-B173-95589C66289A}
1204	155668	67056	403	 	 	 	 	5th	Street	North	 	 	 	403 5th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.2775547	44.98282367	2202924310066	{4E09E5B4-11FD-4BAA-8C27-6A4D4BD5E32B}
3587	439284	63649	353	 	 	 	 	5th	Street	North	 	 	 	353 5th Street North	Minneapolis	55403	 	TARGET FIELD	 	0	Centroid	-93.27768762	44.98183923	2202924310066	{EAA3DC04-E41A-4841-8FAE-C556481E1A94}
2515	311384	391476	29	 	 	 	 	9th	Street	North	 	 	 	29 9th Street North	Minneapolis	55403	 	 	 	0	Centroid	-93.27810719	44.97751638	2202924340105	{A044C699-15F8-488F-90B6-03A7E57491DA}
686	88704	364840	101	 	 	 	 	9th	Street	North	 	 	 	101 9th Street North	Minneapolis	55403	 	 	 	0	Centroid	-93.27810276	44.97837312	2202924340138	{D525EABF-20C3-4E74-B4E8-3A1F949F674D}
1020	132566	148434	250	 	 	 	 	Marquette	Avenue	 	 	 	 	250 Marquette Avenue	Minneapolis	55401	 	 	 	0	Structure	-93.26753062	44.98079951	2202924410012	{0DB00D6B-4368-42C6-94A6-AB8DDB0B433D}
2954	361988	282238	241	 	 	 	 	1st	Avenue	North	 	 	 	241 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27049631	44.98238932	2202924410024	{FB59F4FF-B48D-497F-9D27-0708A9ECF7C1}
2873	352551	392688	17	 	 	 	 	3rd	Street	North	 	 	 	17 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27130023	44.981498	2202924410025	{3DBDD205-B9D2-4891-AA94-9EEE609DAED4}
2216	274673	413519	21	 	 	 	 	3rd	Street	North	 	 	 	21 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27143819	44.9816226	2202924410026	{83F0BE69-2FCF-41DF-B270-3AB8003E1495}
2871	351826	391377	25	 	 	 	 	3rd	Street	North	 	 	 	25 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27151348	44.98178244	2202924410027	{8BAB1D53-A2B2-461B-AA2A-0C71FD14CA07}
73	8640	390975	319	 	 	 	 	1st	Avenue	North	 	 	 	319 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27180574	44.98135263	2202924410030	{3A8A01B6-50B1-4754-8AB6-8CBB40F7432A}
904	119910	399232	321	 	 	 	 	1st	Avenue	North	 	 	 	321 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27193675	44.98134815	2202924410031	{33E53C8D-9627-4BAD-8CCB-9D5D5F01C8DB}
2520	311547	399290	323	 	 	 	 	1st	Avenue	North	 	 	 	323 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27202419	44.9812866	2202924410032	{8FBB9E6E-6905-4AFF-BF5E-A9B69B123ABA}
625	78978	441867	16	 	 	 	 	4th	Street	North	 	 	 	16 4th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27184403	44.98110918	2202924410036	{56F1AA35-A4B9-4E92-A82E-52B3EFD7BE8D}
2349	292300	292441	18	 	 	 	 	4th	Street	North	 	 	 	18 4th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27184403	44.98110918	2202924410036	{A3EF8992-75D9-4EE7-98E4-78C2AB790876}
1930	241071	393919	314	 	 	 	 	Hennepin	Avenue	 	 	 	 	314 Hennepin Avenue	Minneapolis	55401	 	 	 	0	Centroid	-93.27120812	44.98110657	2202924410037	{7D185779-6152-4ECA-A59E-D2CA26DA7889}
1374	174682	394764	245	 	 	 	 	2nd	Avenue	North	 	 	 	245 2nd Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27182992	44.98299211	2202924410040	{15DDE5C2-2B21-4D79-A400-A3693CA35535}
2057	255924	390081	112	 	 	 	 	3rd	Street	North	 	 	 	112 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27160615	44.98267556	2202924410055	{C371F6BD-8F3F-495A-ADD5-BC70EE7D1117}
2162	267921	440221	108	 	 	 	 	3rd	Street	North	 	 	 	108 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27162849	44.98253347	2202924410056	{D68D75EF-4BE3-49EE-8284-57AD11596BA3}
2637	325636	42505	110	 	 	 	 	3rd	Street	North	 	 	 	110 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27162849	44.98253347	2202924410056	{3A0DF313-D925-48B6-A786-6623B1DC1089}
2594	319677	392015	106	 	 	 	 	3rd	Street	North	 	 	 	106 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27150394	44.98236867	2202924410057	{5ADD5551-2DDF-42E4-B9CF-15DB2B9CC9A5}
1817	229770	390541	252	 	 	 	 	1st	Avenue	North	 	 	 	252 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27139592	44.98244682	2202924410058	{8C5A771B-A4C9-446E-B270-72B1FCDCE722}
3171	387830	391361	248	 	 	 	 	1st	Avenue	North	 	 	 	248 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27134063	44.9825649	2202924410059	{D9061580-4B18-40A2-826F-B05F0B2CA8A6}
3333	407080	389391	244	 	 	 	 	1st	Avenue	North	 	 	 	244 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.2712325	44.9826487	2202924410060	{B39354D4-5240-4729-B97A-ED4478C77F8D}
3848	470897	392791	101	 	 	 	 	Washington	Avenue	North	 	 	 	101 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27082713	44.98280985	2202924410061	{B508FC7B-9980-48F5-9CD3-C8477365D343}
1415	179196	390109	107	 	 	 	 	Washington	Avenue	North	 	 	 	107 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27094439	44.98289193	2202924410062	{75557546-A8E7-47CF-953E-090B4763E469}
3496	428900	393977	109	 	 	 	 	Washington	Avenue	North	 	 	 	109 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27103703	44.98295441	2202924410063	{8EE17515-156C-4CBA-B13A-5CA19F194A63}
3762	461034	293575	111	 	 	 	 	Washington	Avenue	North	 	 	 	111 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27103703	44.98295441	2202924410063	{A2B0EAB2-839F-4D9D-95DF-CAED941A586C}
420	53291	391629	113	 	 	 	 	Washington	Avenue	North	 	 	 	113 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27112686	44.98302185	2202924410064	{B255D586-2BF8-4310-9375-FDC92B840238}
1309	167112	440056	115	 	 	 	 	Washington	Avenue	North	 	 	 	115 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27119249	44.98306616	2202924410065	{2E3F3266-ECDB-49ED-A294-EC7029CAD8A6}
388	48571	440941	117	 	 	 	 	Washington	Avenue	North	 	 	 	117 Washington Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27125297	44.98311015	2202924410066	{0E44FB2B-CF27-4AE6-A4D7-25EBC028FC1E}
2983	365586	147769	314	 	 	 	 	1st	Avenue	North	 	 	 	314 1st Avenue North	Minneapolis	55401	 	 	 	0	Centroid	-93.27222022	44.9819306	2202924410082	{ABEB5C7E-B227-4FA2-9118-9EAB4B963D4A}
3489	428254	288728	123	 	 	 	 	3rd	Street	North	 	 	 	123 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.2725979	44.98243446	2202924410085	{1DFF4FE1-2897-4A6C-9019-35CF61C26AAB}
2184	270689	394158	19	 	 	 	 	4th	Street	North	 	 	 	19 4th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27244867	44.9806928	2202924410086	{37101EC6-3926-4F24-9862-AD60793FFDE3}
2393	296808	388404	25	 	 	 	 	4th	Street	North	 	 	 	25 4th Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27259318	44.98079369	2202924410087	{D0E03C15-9C49-44E0-A29C-61B05DD9F3E8}
325	41654	292203	122	 	 	 	 	3rd	Street	North	 	 	 	122 3rd Street North	Minneapolis	55401	 	 	 	0	Centroid	-93.27187922	44.98271238	2202924410088	{39C6BB04-A839-4F84-B08C-3BB1385AB686}
